GID	ENV	HD
GW_001	1	100
GW_002	1	78
GW_003	1	91
GW_004	1	96
GW_005	1	82
GW_006	1	87
GW_007	1	85
GW_008	1	86
GW_009	1	93
GW_010	1	88
GW_011	1	85
GW_012	1	82
GW_013	1	94
GW_014	1	91
GW_015	1	97
GW_016	1	94
GW_017	1	100
GW_018	1	106
GW_019	1	107
GW_020	1	86
GW_021	1	87
GW_022	1	84
GW_023	1	96
GW_024	1	100
GW_025	1	96
GW_026	1	87
GW_027	1	93
GW_028	1	95
GW_029	1	100
GW_030	1	87
GW_031	1	83
GW_032	1	102
GW_033	1	92
GW_034	1	91
GW_035	1	106
GW_036	1	87
GW_037	1	89
GW_038	1	87
GW_039	1	93
GW_040	1	108
GW_041	1	107
GW_042	1	80
GW_043	1	109
GW_044	1	87
GW_045	1	99
GW_046	1	82
GW_047	1	92
GW_048	1	94
GW_049	1	82
GW_050	1	81
GW_051	1	86
GW_052	1	87
GW_053	1	92
GW_054	1	102
GW_055	1	94
GW_056	1	79
GW_057	1	87
GW_058	1	92
GW_059	1	87
GW_060	1	81
GW_061	1	82
GW_062	1	74
GW_063	1	91
GW_064	1	76
GW_065	1	87
GW_066	1	101
GW_067	1	82
GW_068	1	93
GW_069	1	78
GW_070	1	105
GW_071	1	105
GW_072	1	76
GW_073	1	96
GW_074	1	76
GW_075	1	75
GW_076	1	74
GW_077	1	76
GW_078	1	91
GW_079	1	77
GW_080	1	89
GW_081	1	94
GW_082	1	76
GW_083	1	80
GW_084	1	83
GW_085	1	82
GW_086	1	82
GW_087	1	81
GW_088	1	93
GW_089	1	85
GW_090	1	82
GW_091	1	87
GW_092	1	85
GW_093	1	80
GW_094	1	93
GW_095	1	82
GW_096	1	88
GW_097	1	87
GW_098	1	95
GW_099	1	90
GW_100	1	79
GW_101	1	81
GW_102	1	90
GW_103	1	82
GW_104	1	87
GW_105	1	73
GW_106	1	103
GW_107	1	79
GW_108	1	88
GW_109	1	87
GW_110	1	80
GW_111	1	82
GW_112	1	90
GW_113	1	88
GW_114	1	83
GW_115	1	79
GW_116	1	79
GW_117	1	82
GW_118	1	82
GW_119	1	79
GW_120	1	83
GW_121	1	84
GW_122	1	85
GW_123	1	84
GW_124	1	90
GW_125	1	81
GW_126	1	78
GW_127	1	77
GW_128	1	77
GW_129	1	85
GW_130	1	82
GW_131	1	81
GW_132	1	83
GW_133	1	87
GW_134	1	81
GW_135	1	78
GW_136	1	82
GW_137	1	80
GW_138	1	83
GW_139	1	80
GW_140	1	85
